nbhd_name,new_use,mean,count1,high_cost,low_cost
Academy,Residential,17418,647,1,4
Central West End,Commercial,69400,1514,1,3
Central West End,Institutional,74219.57142857143,4368,2,5
Central West End,Residential,43851.5,4047,6,22
DeBaliviere Place,Residential,27500,666,0,2
Forest Park Southeast,Commercial,30000,346,0,2
Forest Park Southeast,Institutional,1128125,300,1,3
Forest Park Southeast,Residential,42982077.14285714,1285,2,5
Fountain Park,Commercial,30000,89,0,1
Lewis Place,Residential,6500,405,0,1
Skinker DeBaliviere,Institutional,613800.5,232,1,1
Skinker DeBaliviere,Residential,28796.222222222223,1971,2,7
Vandeventer,Institutional,30511.5,102,1,1
Vandeventer,Residential,28766.666666666668,526,0,3
West End,Commercial,787,226,0,4
West End,Residential,79995.66666666667,1182,1,5
