nbhd_name,new_use,mean,count1,high_cost,low_cost
Academy,Residential,21867.5,642,1,3
Central West End,Commercial,24411.25,1510,1,7
Central West End,Institutional,661385.1818181818,4363,7,4
Central West End,Residential,40823.6,4028,6,14
DeBaliviere Place,Residential,1081385.2,666,7,3
Forest Park Southeast,Commercial,7150,345,0,4
Forest Park Southeast,Industrial,6100,46,0,1
Forest Park Southeast,Institutional,2520,296,0,1
Forest Park Southeast,Residential,82458.18181818182,1284,4,7
Fountain Park,Residential,175000,219,1,0
Lewis Place,Institutional,10000,78,0,1
Lewis Place,Residential,56500,404,1,2
Skinker DeBaliviere,Commercial,210000,180,1,1
Skinker DeBaliviere,Institutional,4500,229,0,1
Skinker DeBaliviere,Residential,30031.5,1965,2,8
Vandeventer,Residential,9324.5,523,0,2
Visitation Park,Residential,6400,160,0,1
West End,Commercial,666,222,0,2
West End,Residential,36520,1177,1,6
