nbhd_name,new_use,mean,count1,high_cost,low_cost
Academy,Residential,79500,3,1,2
Central West End,Commercial,4523580.25,4,3,1
Central West End,Institutional,278922.28571428574,21,11,10
Central West End,Residential,27295.583333333332,24,3,21
DeBaliviere Place,Residential,61685,4,2,2
Forest Park South East,Commercial,16.666666666666668,3,0,3
Forest Park South East,Industrial,4500000,1,1,0
Forest Park South East,Institutional,2563877,2,2,0
Forest Park South East,Residential,104955.55555555556,9,3,6
Fountain Park,Residential,50000,1,1,0
Skinker DeBaliviere,Commercial,0,1,0,1
Skinker DeBaliviere,Residential,30142.85714285714,7,2,5
Vandeventer,Residential,61250,2,1,1
West End,Residential,138380.63636363635,11,9,2
